reference	n	word	normalized	lemma	strongs	morphology	tvm_code
Matthew 1:7	6	Ῥοβοὰμ	Ῥοβοάμ	Ῥοβοάμ	G4497	N-PRI	
Matthew 1:7	7	δὲ	δέ	δέ	G1161	CONJ	
Matthew 1:7	8	ἐγέννησεν	ἐγέννησεν	γεννάω	G1080	V-AAI-3S	5656
Matthew 1:7	9	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:7	10	Ἀβιά,	Ἀβιά	Ἀβιά	G0007	N-PRI	
Matthew 1:7	11	Ἀβιὰ	Ἀβιά	Ἀβιά	G0007	N-PRI	
Matthew 1:7	12	δὲ	δέ	δέ	G1161	CONJ	
Matthew 1:7	13	ἐγέννησεν	ἐγέννησεν	γεννάω	G1080	V-AAI-3S	5656
Matthew 1:7	14	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:7	15	Ἀσάφ,	Ἀσάφ	Ἀσάφ	G0760	N-PRI	
Matthew 1:8	1	Ἀσὰφ	Ἀσάφ	Ἀσάφ	G0760	N-PRI	
Matthew 1:8	2	δὲ	δέ	δέ	G1161	CONJ	
Matthew 1:8	3	ἐγέννησεν	ἐγέννησεν	γεννάω	G1080	V-AAI-3S	5656
Matthew 1:8	4	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:8	5	Ἰωσαφάτ,	Ἰωσαφάτ	Ἰωσαφάτ	G2498	N-PRI	
Matthew 1:8	6	Ἰωσαφὰτ	Ἰωσαφάτ	Ἰωσαφάτ	G2498	N-PRI	
Matthew 1:8	7	δὲ	δέ	δέ	G1161	CONJ	
Matthew 1:8	8	ἐγέννησεν	ἐγέννησεν	γεννάω	G1080	V-AAI-3S	5656
Matthew 1:8	9	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:8	10	Ἰωράμ,	Ἰωράμ	Ἰωράμ	G2496	N-PRI	
Matthew 1:8	11	Ἰωρὰμ	Ἰωράμ	Ἰωράμ	G2496	N-PRI	
Matthew 1:8	12	δὲ	δέ	δέ	G1161	CONJ	
Matthew 1:8	13	ἐγέννησεν	ἐγέννησεν	γεννάω	G1080	V-AAI-3S	5656
Matthew 1:8	14	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:8	15	Ὀζείαν,	Ὀζείαν	Ὀζίας	G3604	N-ASM	
Matthew 1:9	1	Ὀζείας	Ὀζείας	Ὀζίας	G3604	N-NSM	
Matthew 1:9	2	δὲ	δέ	δέ	G1161	CONJ	
Matthew 1:9	3	ἐγέννησεν	ἐγέννησεν	γεννάω	G1080	V-AAI-3S	5656
Matthew 1:9	4	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:9	5	Ἰωαθάμ,	Ἰωαθάμ	Ἰωαθάμ	G2488	N-PRI	
Matthew 1:9	6	Ἰωαθὰμ	Ἰωαθάμ	Ἰωαθάμ	G2488	N-PRI	
Matthew 1:9	7	δὲ	δέ	δέ	G1161	CONJ	
Matthew 1:9	8	ἐγέννησεν	ἐγέννησεν	γεννάω	G1080	V-AAI-3S	5656
Matthew 1:9	9	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:9	10	Ἄχαζ,	Ἄχαζ	Ἀχάζ	G0881	N-PRI	
Matthew 1:9	11	Ἄχαζ	Ἄχαζ	Ἀχάζ	G0881	N-PRI	
Matthew 1:9	12	δὲ	δέ	δέ	G1161	CONJ	
Matthew 1:9	13	ἐγέννησεν	ἐγέννησεν	γεννάω	G1080	V-AAI-3S	5656
Matthew 1:9	14	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:9	15	Ἐζεκίαν,	Ἐζεκίαν	Ἑζεκίας	G1478	N-ASM	
