reference	byzantine_reading	receptus_reading
Revelation 14:13	απαρτι	απ αρτι
Revelation 14:18		αμπελου της
Revelation 15:3		του
Revelation 16:5	οσιος	εσομενος
Revelation 16:14	εκπορευεσθαι	α εκπορευεται
Revelation 16:14		τον
Revelation 17:4	η	ην
Revelation 17:8		το
Revelation 18:1		αλλον
Revelation 18:5	ηκολουθησαν	εκολληθησαν
Revelation 19:14		τα
Revelation 19:16	αυτου το ονομα	αυτου ονομα
Revelation 19:18		τε
Revelation 20:4	τα	
Revelation 21:13		και
Revelation 21:20	ενατος	εννατος
