strongs	word	brief_definition	full_definition
G4808	συκῆ, ῆς, ἡ	a fig-tree	a fig-tree.
G4809	συκομωραία, ας, ἡ	a sycamore tree	a sycamore tree.
G4810	σῦκον, ου, τό	a fig	a (ripe) fig.
G4811	συκοφαντέω	I accuse falsely, defraud	I accuse falsely, defraud.
G4812	συλαγωγέω	I plunder	I plunder, lead captive; met: I make victim by fraud.
G4813	συλάω	I rob, plunder	I rob, plunder, strip.
G4814	συλλαλέω	I talk with	I talk with, discuss.
G4815	συλλαμβάνω	I seize, apprehend, become pregnant	I seize, apprehend, assist, conceive, become pregnant.
G4816	συλλέγω	I collect, gather	I collect, gather.
G4817	συλλογίζομαι	I reason	I reason, reckon with myself, consider.
G4818	συλλυπέομαι	I am grieved	I am moved to grief by sympathy.
G4819	συμβαίνω	I happen, occur	I happen, occur, meet.
G4820	συμβάλλω	I ponder, encounter, confer or dispute with	properly: I throw together, hence: I ponder, come up with, encounter, with or without hostile intent; I dispute with; mid: I confer, consult with, contribute.
G4821	συμβασιλεύω	I reign together with	I reign together with.
G4822	συμβιβάζω	I unite, prove, instruct	(a) I unite or knit together, (b) I put together in reasoning, and so: I conclude, prove, (c) I teach, instruct.
G4823	συμβουλεύω	I give advice	I give advice, exhort; mid: I take counsel together, consult.
G4824	συμβούλιον, ου, τό	a council, advice	(a) a body of advisers (assessors) in a court, a council, (b) abstr: consultation, counsel, advice; resolution, decree.
G4825	σύμβουλος, ου, ὁ	an adviser, counselor	an adviser, counselor.
G4826	Συμεών, ὁ	Simeon or Simon	Simeon or Simon.
G4827	συμμαθητής, οῦ, ὁ	a fellow-disciple	a fellow disciple.
G4828	συμμαρτυρέω	I bear witness together with	I bear witness together with.
G4829	συμμερίζομαι	I partake with	I partake with, divide together with, have a share in.
G4830	συμμέτοχος, ον	jointly partaking	jointly partaking.
G4831	συμμιμητής, οῦ, ὁ	a joint imitator	a joint imitator.
G4832	σύμμορφος, ον	similar, conformed to	similar, conformed to.
G4833	συμμορφόω	I bring to the same form with, conform	I bring to the same form with, conform.
G4834	συμπαθέω	I sympathize with, have compassion on	I sympathize with, have compassion on.
