strongs	word	brief_definition	full_definition
G1076	γενεαλογία, ας, ἡ	genealogy	genealogy.
G1077	γενέσια, ίων, τά	a birthday celebration	a birthday celebration.
G1078	γένεσις, εως, ἡ	birth, lineage	birth, lineage, descent.
G1079	γενετή, ῆς, ἡ	birth	birth.
G1080	γεννάω	I beget, bring forth, give birth to	I beget (of the male), (of the female) I bring forth, give birth to.
G1081	γέννημα, ατος, τό	offspring, child, fruit	offspring, child, fruit.
G1082	Γεννησαρέτ, ἡ	Gennesaret	Gennesaret, a fertile district by the lake of Tiberias, which was in consequence sometimes called the Lake of Gennesaret.
G1083	γέννησις, εως, ἡ	nativity, birth	nativity, birth.
G1084	γεννητός, ή, όν	begotten, born	begotten, born.
G1085	γένος, ους, τό	offspring, family, race, kind	offspring, family, race, nation, kind.
G1086	Γεργεσηνός, ή, όν	from Gerasene	from Gerasene.
G1087	γερουσία, ας, ἡ	body of elders	the assembly or body of elders.
G1088	γέρων, οντος, ὁ	an old man	an old man.
G1089	γεύομαι	I taste, experience	(a) I taste, (b) I experience.
G1090	γεωργέω	I work the soil, cultivate the earth	I work the soil, cultivate the earth.
G1091	γεώργιον, ου, τό	a tilled field	a tilled field, cultivation, husbandry.
G1092	γεωργός, οῦ, ὁ	a worker of the soil, husbandman, vine-dresser	a worker of the soil, husbandman, farmer, farm-laborer, vine-dresser.
G1093	γῆ, γῆς, ἡ	the earth, soil, land	the earth, soil, land, region, country, inhabitants of a region.
G1094	γῆρας, ρως, τό	old age	old age.
G1095	γηράσκω	I become old, grow old	I become old, grow old.
G1096	γίνομαι	I come into being, am born	I come into being, am born, become, come about, happen.
G1097	γινώσκω	I come to know, learn, realize	I am taking in knowledge, come to know, learn; aor: I ascertained, realized.
G1098	γλεῦκος, ους, τό	sweet wine	the unfermented juice of grapes; hence: sweet new wine.
G1099	γλυκύς, εῖα, ύ	sweet	sweet.
G1100	γλῶσσα, ης, ἡ	the tongue, a language, nation	the tongue, a language, a nation (usually distinguished by their speech).
G1101	γλωσσόκομον, ου, τό	bag, purse, box, chest	(a vernacular word), bag, purse; some prefer to take as: box, chest.
G1102	γναφεύς, έως, ὁ	a fuller, cloth-dresser	a fuller, cloth-dresser.
G1103	γνήσιος, α, ον	real, true, genuine	(lit: born in wedlock), hence: real, true, genuine; with definite article: the true, genuine element.
G1104	γνησίως	truly, genuinely, honorably, sincerely	truly, genuinely, honorably, sincerely.
G1105	γνόφος, ου, ὁ	darkness, gloom	darkness, gloom; a thick cloud.
G1106	γνώμη, ης, ἡ	opinion, counsel, judgment, intention	opinion, counsel, judgment, intention, decree.
G1107	γνωρίζω	I make known, declare, know	I make known, declare, know, discover.
G1108	γνῶσις, εως, ἡ	knowledge, doctrine, wisdom	knowledge, doctrine, wisdom.
G1109	γνώστης, ου, ὁ	one who knows, an expert	one who knows, an expert.
G1110	γνωστός, ή, όν	known, an acquaintance	known, an acquaintance.
G1111	γογγύζω	I whisper, murmur, grumble	I whisper, murmur, grumble (generally of smoldering discontent).
G1112	γογγυσμός, οῦ, ὁ	murmuring, grumbling	murmuring, grumbling.
G1113	γογγυστής, οῦ, ὁ	a murmurer, grumbler	a murmurer, grumbler.
G1114	γόης, ητος, ὁ	a conjurer, deceiver, imposter	a conjuror, juggler, sorcerer; a tricky (crafty) deceiver, imposter.
G1115	Γολγοθᾶ, ἡ	Golgotha	Golgotha, a knoll outside the wall of Jerusalem.
G1116	Γόμορρα, ας, ἡ	Gomorrah	Gomorrah, one of the destroyed cities on the Dead Sea.
G1117	γόμος, ου, ὁ	a cargo, freight	a cargo, freight.
G1118	γονεύς, έως, ὁ	a parent	a begetter, father; plur: parents.
G1119	γόνυ, ατος, τό	a knee	the knee.
G1120	γονυπετέω	I fall on my knees before, supplicate, entreat	I fall on my knees before (in supplication), supplicate, entreat.
G1121	γράμμα, ατος, τό	a letter, writings, learning	a letter of the alphabet; collectively: written (revelation); (a) a written document, a letter, an epistle, (b) writings, literature, learning.
G1122	γραμματεύς, έως, ὁ	a scribe, town-clerk, man of learning	(a) in Jerusalem, a scribe, one learned in the Jewish Law, a religious teacher, (b) at Ephesus, the town-clerk, the secretary of the city, (c) a man of learning generally.
G1123	γραπτός, ή, όν	written	written.
G1124	γραφή, ῆς, ἡ	a writing, passage of scripture, the scriptures	(a) a writing, (b) a passage of scripture; plur: the scriptures.
G1125	γράφω	I write	I write; pass: it is written, it stands written (in the scriptures).
G1126	γραώδης, ες	belonging to old women, such as old women tell	belonging to old women, such as old women tell.
G1127	γρηγορέω	I am awake, am vigilant, watch	(a) I am awake (in the night), watch, (b) I am watchful, on the alert, vigilant.
G1128	γυμνάζω	I train by physical exercise	I train by physical exercise; hence: train, in the widest sense.
G1129	γυμνασία, ας, ἡ	physical exercise	(physical) exercise, in a wide sense.
G1130	γυμνητεύω	I am poorly clad	I am poorly clad; I am habitually wearing an under-garment only.
G1131	γυμνός, ή, όν	wearing only the under-garment, bare	rarely: stark-naked; generally: wearing only the under-garment; bare, open, manifest; mere.
G1132	γυμνότης, ητος, ἡ	nakedness	nakedness.
G1133	γυναικάριον, ου, τό	a woman, a poor weak woman	a woman, with all a woman's weakness, a poor weak woman, a silly woman.
G1134	γυναικεῖος, α, ον	belonging to woman, of woman	belonging to woman, of woman, female.
G1135	γυνή, αικός, ἡ	a woman, wife, my lady	a woman, wife, my lady.
G1136	Γώγ, ὁ	Gog	Gog, in Ezekiel a king of Magog, a land of the remote north; hence, in Revelation, of a people far remote from Palestine.
G1137	γωνία, ας, ἡ	a corner, a secret place	a corner; met: a secret place.
G1138	Δαυίδ, ὁ	David	David, King of Israel.
G1139	δαιμονίζομαι	I am demon-possessed	I am possessed, am under the power of an evil-spirit or demon.
G1140	δαιμόνιον, ου, τό	an evil-spirit, demon	an evil-spirit, demon; a heathen deity.
G1141	δαιμονιώδης, ες	demon-like	demon-like, such as demons have.
G1142	δαίμων, ονος, ὁ	an evil-spirit, demon	an evil-spirit, demon.
G1143	δάκνω	I bite, backbite, harm seriously	I bite; hence: I backbite, harm seriously.
G1144	δάκρυον, ου, τό	a tear	a tear.
G1145	δακρύω	I shed tears, week	I shed tears, weep.
G1146	δακτύλιος, ου, ὁ	a finger-ring	a finger-ring.
G1147	δάκτυλος, ου, ὁ	a finger	a finger.
G1148	Δαλμανουθά, ἡ	Dalmanutha	Dalmanutha, a town or village near Magdala.
G1149	Δαλματία, ας, ἡ	Dalmatia	Dalmatia, a province of the Roman Empire, east of the Adriatic, a later name for part of what was earlier called Illyricum.
G1150	δαμάζω	I tame, subdue	I tame, subdue, involving obedience and restraint.
G1151	δάμαλις, εως, ἡ	a heifer	a heifer, young cow.
G1152	Δάμαρις, ιδος, ἡ	Damaris	Damaris, an Athenian woman.
G1153	Δαμασκηνός, ή, όν	an inhabitant of Damascus	a Damascene, an inhabitant of Damascus.
G1154	Δαμασκός, οῦ, ἡ	Damascus	Damascus.
G1155	δανείζω	I lend, borrow	I lend; mid: I borrow.
G1156	δάνειον, ου, τό	a loan, debt	a loan, debt.
G1157	δανειστής, οῦ, ὁ	a lender, creditor	a money-lender, creditor.
G1158	Δανιήλ, ὁ	Daniel	Daniel.
G1159	δαπανάω	I spend, bear expense, waste	I spend, bear expense, waste, squander.
G1160	δαπάνη, ης, ἡ	cost, expense	cost, expense.
G1161	δέ	but, on the other hand, and	a weak adversative particle, generally placed second in its clause; but, on the other hand, and.
G1162	δέησις, εως, ἡ	supplication, prayer	supplication, prayer, entreaty.
G1163	δεῖ	it is necessary, inevitable	it is necessary, inevitable; less frequently: it is a duty, what is proper.
G1164	δεῖγμα, ατος, τό	an example, type	an example, type; a thing shown.
G1165	δειγματίζω	I hold up as an example	I hold up as an example, make a show of, expose.
G1166	δείκνυμι	I point out, show	I point out, show, exhibit; met: I teach, demonstrate, make known.
G1167	δειλία, ας, ἡ	cowardice	cowardice, timidity.
G1168	δειλιάω	I shrink, am fearful	I shrink, am fearful, timid, cowardly.
G1169	δειλός, ή, όν	cowardly, timid	cowardly, timid, fearful.
G1170	δεῖνα, ὁ, ἡ, τό	so and so, such a one	so and so, such a one, where the name of the person is known but not used.
G1171	δεινῶς	vehemently, terribly	vehemently, terribly, grievously.
G1172	δειπνέω	I dine	I dine, sup, eat.
G1173	δεῖπνον, ου, τό	a dinner, an afternoon or evening meal	a dinner, an afternoon or evening meal.
G1174	δεισιδαίμων, ον	respectful of what is divine, religious	respectful of what is divine; religious, perhaps, rather than superstitious (the usual meaning).
G1175	δεισιδαιμονία, ας, ἡ	religion in general, superstition	religion in general; in a bad sense: superstition.
G1176	δέκα	ten	ten.
G1177	δεκαδύο	twelve	twelve.
G1178	δεκαπέντε	fifteen	fifteen.
G1179	Δεκάπολις, εως, ἡ	Decapolis	Decapolis, meaning a group or district of ten cities (of the Greek type) in Palestine, mostly south-east of the Lake of Tiberias; the names and number vary in ancient authorities.
G1180	δεκατέσσαρες, ων	fourteen	fourteen.
G1181	δεκάτη, ης, ἡ	a tenth part, a tithe	a tenth part, a tithe.
G1182	δέκατος, η, ον	tenth	tenth.
G1183	δεκατόω	I tithe, collect tithe from	I tithe, collect tithe from.
G1184	δεκτός, ή, όν	acceptable, accepted	acceptable, accepted.
G1185	δελεάζω	I allure, entice by a bait	I allure, entice (by a bait).
G1186	δένδρον, ου, τό	a tree	a tree.
G1187	δεξιόλαβος, ου, ὁ	one posted on the right hand, a spear-man	one posted on the right hand, a spear-man.
G1188	δεξιός, ά, όν	on the right hand, right hand, right	on the right hand, right hand, right.
G1189	δέομαι	I request, beg	I want for myself; I want, need; I beg, request, beseech, pray.
G1190	Δερβαῖος, α, ον	belonging to Derbe	Derbean, belonging to Derbe.
G1191	Δέρβη, ης, ἡ	Derbe	Derbe, a town in Lycaonia and in the southern part of the Roman province Galatia.
G1192	δέρμα, ατος, τό	a hide, skin	the skin or hide of an animal.
G1193	δερμάτινος, η, ον	made of hide, leathern	made of hide, leathern.
G1194	δέρω	I flay, flog, scourge, beat	I flay, flog, scourge, beat.
G1195	δεσμεύω	I bind, put in chains	I bind, put in chains, tie together.
G1196	δεσμέω	I bind	I bind, confine.
G1197	δέσμη, ης, ἡ	a bundle	a bundle.
G1198	δέσμιος, ου, ὁ	one bound, a prisoner	one bound, a prisoner.
G1199	δεσμός, οῦ, ὁ	a bond, chain	a bond, chain, imprisonment; a string or ligament, an impediment, infirmity.
G1200	δεσμοφύλαξ, ακος, ὁ	a keeper of a prison, a jailer	a keeper of a prison, a jailer.
G1201	δεσμωτήριον, ου, τό	a prison	a prison.
G1202	δεσμώτης, ου, ὁ	a prisoner, captive	a prisoner, captive.
G1203	δεσπότης, ου, ὁ	a lord, master, or prince	a lord, master, or prince.
G1204	δεῦρο	come, now, the present	(originally: hither, hence) (a) exclamatory: come, (b) temporal: now, the present.
G1205	δεῦτε	come hither, come, hither	come hither, come, hither, an exclamatory word.
G1206	δευτεραῖος, αία, αῖον	on the second day, on the next day	adj. where English requires an adv., on the second day, on the next day.
G1207	δευτερόπρωτος, ον	second-first	second-first, a word of uncertain meaning.
G1208	δεύτερος, α, ον	second, in the second place, for the second time	second; with the article: in the second place, for the second time.
G1209	δέχομαι	I take, receive, accept, welcome	I take, receive, accept, welcome.
G1210	δέω	I bind	I bind, tie, fasten; I impel, compel; I declare to be prohibited and unlawful.
G1211	δή	so, then, indeed, truly	(a) in a clause expressing demand: so, then, (b) indeed, (c) truly.
G1212	δῆλος, η, ον	clear, manifest, evident	clear, manifest, evident.
G1213	δηλόω	I show, make clear, reveal	I show, make clear, reveal.
G1214	Δημᾶς, ᾶ, ὁ	Demas	Demas, a helper of Paul in Rome.
G1215	δημηγορέω	I make a public speech, address a multitude	I make a public speech, address a multitude.
G1216	Δημήτριος, ου, ὁ	Demetrius	Demetrius, a silversmith of Ephesus.
G1217	δημιουργός, οῦ, ὁ	an artisan, builder	an artisan, builder, maker; one who labors for the public.
G1218	δῆμος, οῦ, ὁ	the people, multitude, rabble	properly: the people, especially citizens of a Greek city in popular assembly, but in NT, multitude, rabble.
G1219	δημόσιος, α, ον	public, publicly	public, publicly.
G1220	δηνάριον, ου, τό	a denarius	a denarius, a small Roman silver coin.
G1221	δήποτε	even at that time, whenever	even at that time, whenever.
G1222	δήπου	of course, indeed	of course, indeed, qualifying and yet strengthening the assertion.
G1223	διά	through, on account of	(a) gen: through, throughout, by the instrumentality of, (b) acc: through, on account of, by reason of, for the sake of, because of.
G1224	διαβαίνω	I cross, pass through	I cross, pass through, step across.
G1225	διαβάλλω	I slander, complain of, accuse	I thrust through, slander, complain of, accuse.
G1226	διαβεβαιόομαι	I assert emphatically	I assert emphatically.
G1227	διαβλέπω	I see through, see clearly	I see through, see clearly.
G1228	διάβολος, ον	slanderous, the Slanderer, the Devil	(adj. used often as a noun), slanderous; with the article: the Slanderer (par excellence), the Devil.
G1229	διαγγέλλω	I announce throughout, spread the news of	I announce throughout (the world), spread the news of, give notice of, teach.
G1230	διαγίνομαι	I pass, elapse time	I pass (of time); I continue through, intervene.
G1231	διαγινώσκω	I know accurately, examine, decide	I know accurately, examine, decide.
G1232	διαγνωρίζω	I tell abroad, make known	I tell abroad, make known.
G1233	διάγνωσις, εως, ἡ	judicial examination, decision	judicial examination, decision; an act of discernment.
G1234	διαγογγύζω	I murmur greatly, continue murmuring	I murmur greatly, continue murmuring.
G1235	διαγρηγορέω	I awake out of sleep, am thoroughly awake	I awake out of sleep, am thoroughly awake.
G1236	διάγω	I spend time, pass time, live	(either trans. or intrans.), I spend time, pass time, live.
G1237	διαδέχομαι	I receive in my turn	I receive in my turn, receive through another.
G1238	διάδημα, ατος, τό	a head-wreath, crown	a head-wreath, crown, diadem.
G1239	διαδίδωμι	I offer here and there, distribute, divide	I offer here and there, distribute, divide, hand over.
G1240	διάδοχος, ου, ὁ	a successor	a successor.
G1241	διαζώννυμι	I gird, tie around	I gird, tie around; mid: I gird round myself.
G1242	διαθήκη, ης, ἡ	a covenant, will, testament	(a) a covenant between two parties, (b) (the ordinary, everyday sense [found a countless number of times in papyri]) a will, testament.
G1243	διαίρεσις, εως, ἡ	division, distribution, difference, distinction	division, distribution, difference, distinction.
G1244	διαιρέω	I divide, distribute	I divide into parts, cut asunder, distribute.
G1245	διακαθαρίζω	I cleanse thoroughly	I cleanse thoroughly.
G1246	διακατελέγχομαι	I utterly refute	I effectively (utterly) refute.
G1247	διακονέω	I wait at table, serve	I wait at table (particularly of a slave who waits on guests); I serve (generally).
G1248	διακονία, ας, ἡ	waiting at table, service, ministration	waiting at table; in a wider sense: service, ministration.
G1249	διάκονος, οῦ, ὁ, ἡ	a waiter, servant, administrator	a waiter, servant; then of any one who performs any service, an administrator.
G1250	διακόσιοι, αι, α	two hundred	two hundred.
G1251	διακούω	I hear throughout, of a judicial hearing	I hear throughout, of a judicial hearing.
G1252	διακρίνω	I distinguish, discern, doubt, hesitate	I separate, distinguish, discern one thing from another; I doubt, hesitate, waver.
G1253	διάκρισις, εως, ἡ	distinguishing, deciding, passing sentence on	distinguishing; hence: deciding, passing sentence on; the act of judgment, discernment.
G1254	διακωλύω	I obstinately prevent, hinder	I obstinately prevent, hinder.
G1255	διαλαλέω	I converse together, talk of	I converse together, talk of; of conversation passing from mouth to mouth.
G1256	διαλέγομαι	I converse, address, preach, lecture	I converse, address, preach, lecture; I argue, reason.
G1257	διαλείπω	I cease, give over, give up	I cease, give over, give up.
G1258	διάλεκτος, ου, ἡ	language, speech	language, speech, conversation, manner of speaking.
G1259	διαλλάσσομαι	I become reconciled to, reconcile myself with	I change, exchange; I reconcile, change enmity for friendship.
G1260	διαλογίζομαι	I reason, debate, consider	I reason (with), debate (with), consider.
G1261	διαλογισμός, οῦ, ὁ	a calculation, reasoning, thought, plotting	a calculation, reasoning, thought, movement of thought, deliberation, plotting.
G1262	διαλύω	I break up, disperse	I break up, disperse, dissolve.
G1263	διαμαρτύρομαι	I give solemn evidence, testify solemnly	I give solemn evidence, testify (declare) solemnly.
G1264	διαμάχομαι	I strive greatly, contend fiercely	I strive greatly, contend fiercely.
G1265	διαμένω	I remain, continue	I remain, continue.
G1266	διαμερίζω	I divide up into parts, break up, distribute	I divide up into parts, break up; I distribute.
G1267	διαμερισμός, οῦ, ὁ	breaking up, discord, hostility	breaking up; discord, hostility.
G1268	διανέμω	I divide into portions, distribute	I divide into portions, distribute; pass: I am spread about.
G1269	διανεύω	I nod continually, beckon	I nod continually, beckon.
G1270	διανόημα, ατος, τό	a reasoning, thought, cogitation	a reasoning, thought, cogitation.
G1271	διάνοια, ας, ἡ	understanding, intellect, mind	understanding, intellect, mind, insight.
G1272	διανοίγω	I open fully	I open fully.
G1273	διανυκτερεύω	I spend the whole night	I spend the whole night.
G1274	διανύω	I finish, complete	I finish, complete, accomplish fully.
G1276	διαπεράω	I cross over	I cross over, pass over.
G1277	διαπλέω	I sail over	I sail over (across).
G1278	διαπονέομαι	I am greatly troubled	I am greatly troubled.
G1279	διαπορεύομαι	I journey through	I journey through (past).
G1280	διαπορέω	I am in trouble, doubt, difficulty	I am in trouble, doubt, difficulty; I am at a loss.
G1281	διαπραγματεύομαι	I gain by business	I gain by business (trading).
G1282	διαπρίω	I cut to the quick	(lit: I saw through), I cut to the quick (with indignation and envy).
G1283	διαρπάζω	I plunder, rob thoroughly	I plunder, rob thoroughly.
G1284	διαρρήσσω	I tear asunder	I tear asunder, burst, rend.
G1285	διασαφέω	I make clear, explain	I make clear, explain fully.
G1286	διασείω	I blackmail, extort from	I blackmail, extort from, intimidate.
G1287	διασκορπίζω	I scatter, winnow, disperse, waste	I scatter, winnow, disperse, waste.
G1288	διασπάω	I tear apart, burst	I tear apart, burst.
G1289	διασπείρω	I scatter like seed	I scatter (like seed), disperse.
G1290	διασπορά, ᾶς, ἡ	dispersion	lit: scattering abroad of seed by the sower, hence: dispersion, used especially of the Jews who had migrated and were scattered over the ancient world.
G1291	διαστέλλομαι	I give a commission, order	I give a commission (instructions), order; I admonish, prohibit.
G1292	διάστημα, ατος, τό	an interval of time	an interval of time, distance.
G1293	διαστολή, ῆς, ἡ	distinction, difference, separation	distinction, difference, separation.
G1294	διαστρέφω	I pervert, corrupt, oppose	I pervert, corrupt, oppose, distort.
G1295	διασώζω	I save, bring safely to	I save (rescue) through (some danger), bring safely to, escaped to.
G1296	διαταγή, ῆς, ἡ	ordaining, ordinance, disposition	ordaining, ordinance, disposition.
G1297	διάταγμα, ατος, τό	a mandate, decree	a mandate, decree, edict.
G1298	διαταράσσω	I trouble greatly, agitate	I trouble greatly, agitate.
G1299	διατάσσω	I give orders to, prescribe	I give orders to, prescribe, arrange.
G1300	διατελέω	I continue	I continue, persevere, finish.
G1301	διατηρέω	I keep safe, hold fast	I keep safe, hold fast.
G1303	διατίθεμαι	I appoint, make	(a) I appoint, make (of a covenant), (b) I make (a will).
G1304	διατρίβω	I tarry, continue, stay	I tarry, continue, stay in a place.
G1305	διατροφή, ῆς, ἡ	nourishment, food	nourishment, food.
G1306	διαυγάζω	I shine through, dawn	I shine through, dawn (of the light coming through the shadows).
G1307	διαυγής, ές	transparent	through which light passes, transparent.
G1308	διαφέρω	I carry through, differ, surpass, excel	(a) trans: I carry through, hither and thither, (b) intrans: I am different, differ, and sometimes: I surpass, excel.
G1309	διαφεύγω	I escape by flight	I escape by flight.
G1310	διαφημίζω	I report, publish abroad	I report, publish abroad.
G1311	διαφθείρω	I destroy, waste, corrupt	I destroy, waste; hence met: I corrupt.
G1312	διαφθορά, ας, ἡ	destruction, decay, corruption	destruction, decay, corruption.
G1313	διάφορος, ον	differing, different, excellent	differing, different; hence: excellent.
G1314	διαφυλάσσω	I guard carefully, protect, defend	I guard carefully, protect, defend.
G1315	διαχειρίζομαι	I lay my hands upon, slay, kill	I lay my hands upon, and so: I slay, kill.
G1316	διαχωρίζομαι	I separate myself from, part from	I separate myself from, part from, go away.
G1317	διδακτικός, ή, όν	able to teach, apt to teach	able to teach, apt to teach.
G1318	διδακτός, ή, όν	taught, instructed	taught, instructed.
G1319	διδασκαλία, ας, ἡ	instruction, teaching	instruction, teaching.
G1320	διδάσκαλος, ου, ὁ	a teacher	a teacher, master.
G1321	διδάσκω	I teach	I teach, direct, admonish.
G1322	διδαχή, ῆς, ἡ	teaching, doctrine	teaching, doctrine, what is taught.
G1323	δίδραχμον, ου, τό	a double-drachma, two drachmae	a double-drachma, two drachmae, a Greek silver coin.
G1324	Δίδυμος, ου, ὁ	the Twin, Didymus, Thomas	the Twin; Didymus, the Greek name equivalent to Thomas.
G1325	δίδωμι	I offer, give	I offer, give; I put, place.
G1326	διεγείρω	I wake out of sleep, I arouse	I wake out of sleep, arouse in general, stir up.
G1327	διέξοδος, ου, ἡ	a public spot in a city	a meeting-place of roads, a public spot in a city.
G1328	διερμηνευτής, ου, ὁ	an interpreter	an interpreter.
G1329	διερμηνεύω	I translate, interpret, explain	I translate, interpret, explain.
G1330	διέρχομαι	I pass through, spread a report	I pass through, spread (as a report).
G1331	διερωτάω	I find by inquiry	I find by inquiry.
G1332	διετής, ές	two years old	two years old, lasting two years.
G1333	διετία, ας, ἡ	two years	a period of two years, two years; according to ancient practice this means any period between one and two years.
G1334	διηγέομαι	I relate in full, describe	I relate in full, describe, narrate.
G1335	διήγησις, εως, ἡ	a narrative	a narrative.
G1336	διηνεκής, ές	continuous, continually	continuous, continually, unbroken.
G1337	διθάλασσος, ον	between two seas	between two seas, which has sea on both sides.
G1338	διϊκνέομαι	I pass through, pierce	I pass through (to), come through (to), pierce.
G1339	διΐστημι	I put apart, separate, put some distance between	I put apart, separate, put some distance between.
G1340	διϊσχυρίζομαι	I assert emphatically	I assert emphatically, lean upon.
G1341	δικαιοκρισία, ας, ἡ	just judgment	just judging, just judgment.
G1342	δίκαιος, ία, ιον	just, righteous, impartial	just; especially, just in the eyes of God; righteous; the elect (a Jewish idea).
G1343	δικαιοσύνη, ης, ἡ	justice, justness, righteousness	(usually if not always in a Jewish atmosphere), justice, justness, righteousness, righteousness of which God is the source or author, but practically: a divine righteousness.
G1344	δικαιόω	I make righteous, defend the cause of, justify	I make righteous, defend the cause of, plead for the righteousness (innocence) of, acquit, justify; hence: I regard as righteous.
G1345	δικαίωμα, ατος, τό	a thing pronounced to be just	a thing pronounced (by God) to be righteous (just, the right); or the restoration of a criminal, a fresh chance given him; a righteous deed, an instance of perfect righteousness.
G1346	δικαίως	justly, righteously	justly, righteously.
G1347	δικαίωσις, εως, ἡ	acquittal, justification	acquittal, justifying, justification, a process of absolution.
G1348	δικαστής, οῦ, ὁ	a judge	a judge.
G1349	δίκη, ης, ἡ	justice, judicial hearing, punishment	(a) (originally: custom, usage) right, justice, (b) process of law, judicial hearing, (c) execution of sentence, punishment, penalty, (d) justice, vengeance.
G1350	δίκτυον, ου, τό	a fishing-net	a fishing-net.
G1351	δίλογος, ον	double-tongued, deceitful	double-tongued, deceitful.
G1352	διό	wherefore	wherefore, on which account, therefore.
G1353	διοδεύω	I journey through, go about	I journey through, go about.
G1354	Διονύσιος, ου, ὁ	Dionysius	Dionysius, an Athenian.
G1355	διόπερ	wherefore	wherefore (emphatically), for which very reason.
G1356	διοπετής, ές	fallen from the sky	fallen from the sky.
G1357	διόρθωσις, εως, ἡ	improvement, reformation	amendment, improvement, reformation.
G1358	διορύσσω	I dig through, break through	I dig through, break through.
G1359	Διόσκουροι, ων, οἱ	the Dioscuri, Castor and Pollux	the Dioscuri, Castor and Pollux, sons of Zeus and Leda, and patrons of sailors.
G1360	διότι	on this account, because, for	on this account, because, for.
G1361	Διοτρεφής, ους, ὁ	Diotrephes	Diotrephes.
G1362	διπλοῦς, ῆ, οῦν	double, two-fold	double, two-fold.
G1363	διπλόω	I double	I double, render back double.
G1364	δίς	twice	twice, entirely, utterly.
G1365	διστάζω	I waver, doubt	I waver, doubt, hesitate.
G1366	δίστομος, ον	two-edged	(lit: twain-mouthed; hence: of a sword, as a drinker of blood), two-edged.
G1367	δισχίλιοι, αι, α	two thousand	two thousand.
G1368	διϋλίζω	I strain, put through a sieve	I strain, put through a sieve.
G1369	διχάζω	I set at variance, make to be hostile	I cut asunder; met: I set at variance, make to be hostile.
G1370	διχοστασία, ας, ἡ	division, dissension	division, dissension, standing apart.
G1371	διχοτομέω	I cut in two, scourge severely	I cut in two, perhaps: scourge severely.
G1372	διψάω	I thirst for, desire earnestly	I thirst for, desire earnestly.
G1373	δίψος, ους, τό	thirst	thirst.
G1374	δίψυχος, ον	double-minded, wavering	(lit: of two souls, of two selves), double-minded, wavering.
G1375	διωγμός, οῦ, ὁ	persecution	chase, pursuit; persecution.
G1376	διώκτης, ου, ὁ	a persecutor	a persecutor.
G1377	διώκω	I pursue, persecute	I pursue, hence: I persecute.
G1378	δόγμα, ατος, τό	a decree, edict, ordinance	a decree, edict, ordinance.
G1379	δογματίζω	I subject to regulations, decree	I subject to regulations, decree; mid: I subject myself to regulations, am decree-ridden.
G1380	δοκέω	I think, seem, appear, it seems	I think, seem, appear, it seems.
G1381	δοκιμάζω	I put to the test, prove, examine	I put to the test, prove, examine; I distinguish by testing, approve after testing; I am fit.
G1382	δοκιμή, ῆς, ἡ	a trial, proof; tried, approved character	a trial, proof; tried, approved character.
G1383	δοκίμιον, ου, τό	a test, trial, what is genuine	a test, trial, what is genuine.
G1384	δόκιμος, ον	approved, acceptable	approved, acceptable, tried.
G1385	δοκός, οῦ, ἡ	a beam	a beam or spar of timber.
G1386	δόλιος, ία, ιον	treacherous, deceitful	treacherous, deceitful, fraudulent.
G1387	δολιόω	I act deceitfully, deceive	I act deceitfully, deceive, use fraud.
G1388	δόλος, ου, ὁ	deceit, guile, treachery	deceit, guile, treachery.
G1389	δολόω	I adulterate, corrupt	I adulterate, corrupt, ensnare.
G1390	δόμα, ατος, τό	a gift	a gift, present.
G1391	δόξα, ης, ἡ	honor, renown, glory splendor	honor, renown; glory, an especially divine quality, the unspoken manifestation of God, splendor.
G1392	δοξάζω	I glorify, honor, bestow glory on	I glorify, honor, bestow glory on.
G1393	Δορκάς, άδος, ἡ	Dorcas	Dorcas, the Greek name of Tabitha.
G1394	δόσις, εως, ἡ	a giving, gift.	a giving, gift, donation.
G1395	δότης, ου, ὁ	a giver	a giver.
G1396	δουλαγωγέω	I enslave	I bring into subjection, enslave, treat as a slave.
G1397	δουλεία, ας, ἡ	slavery, bondage	slavery, bondage.
G1398	δουλεύω	I am a slave, am subject to, obey	I am a slave, am subject to, obey, am devoted.
G1399	δούλη, ης, ἡ	a female slave, bonds-maid	a female slave, bonds-maid.
G1401	δοῦλος, ου, ὁ	a male slave	(a) (as adj.) enslaved, (b) (as noun) a (male) slave.
G1402	δουλόω	I enslave	I enslave.
G1403	δοχή, ῆς, ἡ	a reception, party	a feast, banquet, reception.
G1404	δράκων, οντος, ὁ	a dragon or huge serpent	a dragon or huge serpent; met: Satan.
G1405	δράσσομαι	I take hold of, grasp	I take hold of, grasp, catch.
G1406	δραχμή, ῆς, ἡ	a drachma	a drachma, a Greek silver coin.
G1407	δρέπανον, ου, τό	a sickle	a sickle, pruning-hook.
G1408	δρόμος, ου, ὁ	a running, course, career	a running, course, career, race.
G1409	Δρούσιλλα, ης, ἡ	Drusilla	Drusilla (born A.D. 39), daughter of Herod Agrippa I.
G1410	δύναμαι	I am powerful, am able	(a) I am powerful, have (the) power, (b) I am able, I can.
G1411	δύναμις, εως, ἡ	might, power, marvelous works	(a) physical power, force, might, ability, efficacy, energy, meaning (b) plur: powerful deeds, deeds showing (physical) power, marvelous works.
G1412	δυναμόω	I empower, fill with power	I empower, fill with power, strengthen.
G1413	δυνάστης, ου, ὁ	a ruler, potentate	(lit: a man who rules by force), a ruler, potentate; also: courtier, member of the court.
G1414	δυνατέω	I am powerful, able	I am powerful, have power, am able, am mighty.
