strongs	word	transliteration	pronunciation	part_of_speech	language	derivation	definition	kjv_usage
H4240	מְחִידָא	Mᵉchîydâʼ	mek-ee-daw'	n-pr-m	x-pn	from 2330; junction;	Mechida, one of the Nethinim	Mehida.
H4241	מִחְיָה	michyâh	mikh-yaw'	n-f	heb	from 2421;	preservation of life; hence, sustenance; also the live flesh, i.e. the quick	preserve life, quick, recover selves, reviving, sustenance, victuals.
H4242	מְחִיר	mᵉchîyr	mekk-eer'	n-m	heb	from an unused root meaning to buy;	price, payment, wages	gain, hire, price, sold, worth.
H4243	מְחִיר	Mᵉchîyr	mekh-eer'	n-pr-m	x-pn	the same as 4242; price;	Mechir, an Israelite	Mehir.
H4244	מַחְלָה	Machlâh	makh-law'	n-pr-f	x-pn	from 2470; sickness;	Machlah, the name apparently of two Israelitesses	Mahlah.
H4245	מַחֲלֶה	machăleh	makh-al-eh'	n-m	heb	or (feminine) מַחֲלָה; from 2470;	sickness	disease, infirmity, sickness.
H4246	מְחֹלָה	mᵉchôlâh	mek-o-law'	n-f	heb	feminine of 4234;	a dance	company, dances(-cing).
H4247	מְחִלָּה	mᵉchillâh	mekh-il-law'	n-f	heb	from 2490;	a cavern (as if excavated)	cave.
H4248	מַחְלוֹן	Machlôwn	makh-lone'	n-pr-m	x-pn	from 2470; sick;	Machlon, an Israelite	Mahlon.
H4249	מַחְלִי	Machlîy	makh-lee'	n-pr-m	x-pn	from 2470; sick;	Machli, the name of two Israelites	Mahli.
H4250	מַחְלִי	Machlîy	makh-lee'	a	x-pn	patronymical from 4249;	a Machlite or (collectively) descendants of Machli	Mahlites.
H4251	מַחְלֻי	machluy	makh-loo'-ee	n-m	heb	from 2470;	a disease	disease.
H4252	מַחֲלָף	machălâph	makh-al-awf'	n-m	heb	from 2498;	a (sacrificial) knife (as gliding through the flesh)	knife.
H4253	מַחְלָפָה	machlâphâh	makh-law-faw'	n-f	heb	from 2498;	a ringlet of hair (as gliding over each other)	lock.
H4254	מַחֲלָצָה	machălâtsâh	makh-al-aw-tsaw'	n-f	heb	from 2502;	a mantle (as easily drawn off)	changeable suit of apparel, change of raiment.
H4255	מַחְלְקָה	machlᵉqâh	makh-lek-aw'	n-f	arc	(Aramaic) corresponding to 4256;	a section (of the Levites)	course.
H4256	מַחֲלֹקֶת	machălôqeth	makh-al-o'-keth	n-f	heb	from 2505;	a section (of Levites, people or soldiers)	company, course, division, portion. See also 5555.
H4257	מַחֲלַת	machălath	makh-al-ath'	n-f	heb	from 2470; sickness;	'Machalath', probably the title (initial word) of a popular song	Mahalath.
H4258	מַחֲלַת	Machălath	makh-al-ath'	n-pr-f	x-pn	the same as 4257; sickness;	Machalath, the name of an Ishmaelitess and of an Israelitess	Mahalath.
H4259	מְחֹלָתִי	Mᵉchôlâthîy	mekh-o-law-thee'	a	x-pn	patrial from 65;	a Mecholathite or inhabitant of Abel-Mecholah	Mecholathite.
H4260	מַחֲמָאָה	machămâʼâh	makh-am-aw-aw'	n-f	heb	a denominative from 2529;	something buttery (i.e. unctuous and pleasant), as (figuratively) flattery	× than butter.
H4261	מַחְמָד	machmâd	makh-mawd'	n-m	heb	from 2530;	delightful; hence, a delight, i.e. object of affection or desire	beloved, desire, goodly, lovely, pleasant (thing).
H4262	מַחְמֻד	machmud	makh-mood'	n-m	heb	or מַחְמוּד; from 2530;	desired; hence, a valuable	pleasant thing.
H4263	מַחְמָל	machmâl	makh-mawl'	n-m	heb	from 2550; (by paronomasia with 4261) delight	properly, sympathy;	pitieth.
H4264	מַחֲנֶה	machăneh	makh-an-eh'	n-m	heb	from 2583;	an encampment (of travellers or troops); hence, an army, whether literal (of soldiers) or figurative (of dancers, angels, cattle, locusts, stars; or even the sacred courts)	army, band, battle, camp, company, drove, host, tents.
