strongs	word	transliteration	pronunciation	part_of_speech	language	derivation	definition	kjv_usage
H1228	בַּקְבֻּק	baqbuq	bak-book'	n-m	heb	from 1238;	a bottle (from the gurgling in emptying)	bottle, cruse.
H1229	בַּקְבֻּקְיָה	Baqbuqyâh	bak-book-yaw'	n-pr-m	x-pn	from 1228 and 3050; emptying (i.e. wasting) of Jah;	Bakbukjah, an Israelite	Bakbukiah.
H1230	בַּקְבַּקַּר	Baqbaqqar	bak-bak-kar'	n-pr-m	x-pn	reduplicated from 1239; searcher;	Bakbakkar, an Israelite	Bakbakkar.
H1231	בֻּקִּי	Buqqîy	book-kee'	n-pr-m	x-pn	from 1238; wasteful;	Bukki, the name of two Israelites	Bukki.
H1232	בֻּקִּיָּה	Buqqîyâh	book-kee-yaw'	n-pr-m	x-pn	from 1238 and 3050; wasting of Jah;	Bukkijah, an Israelite	Bukkiah.
H1233	בְּקִיעַ	bᵉqîyaʻ	bek-ee'-ah	n-m	heb	from 1234;	a fissure	breach, cleft.
H1234	בָּקַע	bâqaʻ	baw-kah'	v	heb	a primitive root;	to cleave; generally, to rend, break, rip or open	make a breach, break forth (into, out, in pieces, through, up), be ready to burst, cleave (asunder), cut out, divide, hatch, rend (asunder), rip up, tear, win.
H1235	בֶּקַע	beqaʻ	beh'-kah	n-m	heb	from 1234;	a section (half) of a shekel, i.e. a beka (a weight and a coin)	bekah, half a shekel.
H1236	בִּקְעָא	biqʻâʼ	bik-aw'	n-f	arc	(Aramaic) corresponding to 1237		plain.
H1237	בִּקְעָה	biqʻâh	bik-aw'	n-f	heb	from 1234;	properly, a split, i.e. a wide level valley between mountains	plain, valley.
H1238	בָּקַק	bâqaq	baw-kah'	v	heb	a primitive root;	to pour out, i.e. to empty, figuratively, to depopulate; by analogy, to spread out (as a fruitful vine)	(make) empty (out), fail, × utterly, make void.
H1239	בָּקַר	bâqar	baw-kar	v	heb	a primitive root;	properly, to plough, or (generally) break forth, i.e. (figuratively) to inspect, admire, care for, consider	(make) inquire (-ry), (make) search, seek out.
H1240	בְּקַר	bᵉqar	bek-ar'	v	arc	(Aramaic) corresponding to 1239		inquire, make search.
H1241	בָּקָר	bâqâr	baw-kawr'	n-m	heb	from 1239;	a beeve or an animal of the ox family of either gender (as used for plowing); collectively, a herd	beeve, bull ( -ock), calf, cow, great (cattle), heifer, herd, kine, ox.
H1242	בֹּקֶר	bôqer	bo'-ker	n-m	heb	from 1239;	properly, dawn (as the break of day); generally, morning	( ) day, early, morning, morrow.
H1243	בַּקָּרָה	baqqârâh	bak-kaw-raw'	n-f	heb	intensive from 1239;	a looking after	seek out.
H1244	בִּקֹּרֶת	biqqôreth	bik-ko-reth	n-f	heb	from 1239;	properly, examination, i.e. (by implication) punishment	scourged.
H1245	בָּקַשׁ	bâqash	baw-kash'	v	heb	a primitive root;	to search out (by any method, specifically in worship or prayer); by implication, to strive after	ask, beg, beseech, desire, enquire, get, make inquisition, procure, (make) request, require, seek (for).
H1246	בַּקָּשָׁה	baqqâshâh	bak-kaw-shaw'	n-m	heb	from 1245;	a petition	request.
H1247	בַּר	bar	bar	n-m	arc	(Aramaic) corresponding to 1121;	a son, grandson, etc.	× old, son.
H1248	בַּר	bar	bar	n-m	heb	borrowed (as a title) from 1247;	the heir (apparent to the throne)	son.
H1249	בַּר	bar	bar	a	heb	from 1305 (in its various senses);	beloved; also pure, empty	choice, clean, clear, pure.
H1250	בָּר	bâr	bawr	n-m	heb	or בַּר; from 1305 (in the sense of winnowing);	grain of any kind (even while standing in the field); by extension the open country	corn, wheat.
H1251	בַּר	bar	bar	n-m	arc	(Aramaic) corresponding to 1250;	a field	field.
H1252	בֹּר	bôr	bore	n-m	heb	from 1305;	purity	cleanness, pureness.
H1253	בֹּר	bôr	bore	n-m	heb	the same as 1252;	vegetable lye (from its cleansing); used as a soap for washing, or a flux for metals	× never so, purely.
H1254	בָּרָא	bârâʼ	baw-raw'	v	heb	a primitive root;	(absolutely) to create; (qualified) to cut down (a wood), select, feed (as formative processes)	choose, create (creator), cut down, dispatch, do, make (fat).
H1255	בְּרֹאדַךְ בַּלְאֲדָן	Bᵉrôʼdak Balʼădân	ber-o-dak' bal-ad-awn'	n-pr-m	x-pn	a variation of 4757;	Berodak-Baladan, a Babylonian king	Berodach-baladan.
H1256	בְּרָאיָה	Bᵉrâʼyâh	ber-aw-yaw'	n-pr-m	x-pn	from 1254 and 3050; Jah has created;	Berajah, an Israelite	Beraiah.
H1257	בַּרְבֻּר	barbur	bar-boor'	n-m	heb	by reduplication from 1250;	a fowl (as fattened on grain)	fowl.
H1258	בָּרַד	bârad	baw-rad'	v	heb	a primitive root,	to hail	hail.
H1259	בָּרָד	bârâd	baw-rawd'	n-m	heb	from 1258;	hail	hail(stones).
H1260	בֶּרֶד	Bered	beh'red	n-pr-m n-pr-loc	x-pn	from 1258; hail;	Bered, the name of a place south of Palestine, also of an Israelite	Bered.
H1261	בָּרֹד	bârôd	baw-rode'	a	heb	from 1258;	spotted (as if with hail)	grisled.
H1262	בָּרָה	bârâh	baw-raw'	v	heb	a primitive root; to select; also (as denominative from 1250) to feed; also (as equivalent to 1305) to render clear (Ecclesiastes 3:18)	to select; to feed; to render clear	choose, (cause to) eat, manifest, (give) meat.
H1263	בָּרוּךְ	Bârûwk	baw-rook'	n-pr-m	x-pn	passive participle from 1288; blessed;	Baruk, the name of three Israelites	Baruch.
H1264	בְּרוֹם	bᵉrôwm	ber-ome'	n-m	heb	probably of foreign origin;	damask (stuff of variegated thread)	rich apparel.
H1265	בְּרוֹשׁ	bᵉrôwsh	ber-osh'	n-m	heb	of uncertain derivation;	a cypress (?) tree; hence, a lance or a musical instrument (as made of that wood)	fir (tree).
H1266	בְּרוֹת	bᵉrôwth	ber-oth'	n-m	heb	a variation of 1265;	the cypress (or some elastic tree)	fir.
H1267	בָּרוּת	bârûwth	baw-rooth	n-f	heb	from 1262;	food	meat.
H1268	בֵּרוֹתָה	Bêrôwthâh	bay-ro-thaw'	n-pr-loc	x-pn	or בֵּרֹתַי; probably from 1266; cypress or cypresslike;	Berothah or Berothai, a place north of Palestine	Berothah, Berothai.
H1269	בִּרְזוֹת	Birzôwth	beer-zoth'	n-pr-f	x-pn	probably feminine plural from an unused root (apparently mean to pierce); holes;	Birzoth, an Israelite	Birzavith (from the marg.).
H1270	בַּרְזֶל	barzel	bar-zel'	n-m	heb	perhaps from the root of 1269;	iron (as cutting); by extension, an iron implement	(ax) head, iron.
H1271	בַּרְזִלַּי	Barzillay	bar-zil-lah'-ee	n-pr-m	x-pn	from 1270; iron-hearted;	Barzillai, the name of three Israelites	Barzillai.
H1272	בָּרַח	bârach	baw-rakh'	v	heb	a primitive root;	to bolt, i.e. figuratively, to flee suddenly	chase (away); drive away, fain, flee (away), put to flight, make haste, reach, run away, shoot.
H1273	בַּרְחֻמִי	Barchumîy	bar-khoo-mee'	a	x-pn	by transposition for 978;	a Barchumite, or native of Bachurim	Barhumite.
H1274	בְּרִי	bᵉrîy	ber-ee'	a	heb	from 1262;	fat	fat.
H1275	בֵּרִי	Bêrîy	bay-ree'	n-pr-m	x-pn	probably by contraction from 882;	Beri, an Israelite	Beri.
H1276	בֵּרִי	Bêrîy	bay-ree'	a	heb	of uncertain derivation;	(only in the plural and with the article) the Berites, a place in Palestine	Berites.
H1277	בָּרִיא	bârîyʼ	baw-ree'	a	heb	from 1254 (in the sense of 1262);	fatted or plump	fat ((fleshed), -ter), fed, firm, plenteous, rank.
H1278	בְּרִיאָה	bᵉrîyʼâh	ber-ee-aw'	n-f	heb	feminine from 1254;	a creation, i.e. a novelty	new thing.
H1279	בִּרְיָה	biryâh	beer-yaw'	n-f	heb	feminine from 1262;	food	meat.
H1280	בְּרִיחַ	bᵉrîyach	ber-ee'-akh	n-m	heb	from 1272;	a bolt	bar, fugitive.
H1281	בָּרִיחַ	bârîyach	baw-ree'-akh	n-m	heb	or בָּרִחַ; (shortened) from 1272;	a fugitive, i.e. the serpent (as fleeing), and the constellation by that name	crooked, noble, piercing.
H1282	בָּרִיחַ	Bârîyach	baw-ree'-akh	n-pr-m	x-pn	the same as 1281;	Bariach, an Israelite	Bariah.
H1283	בְּרִיעָה	Bᵉrîyʻâh	ber-ee'-aw	n-pr-m	x-pn	apparently from the feminine of 7451 with a prepositional prefix; in trouble;	Beriah, the name of four Israelites	Beriah.
H1284	בְּרִיעִי	Bᵉrîyʻîy	ber-ee-ee'	a	x-pn	patronymically from 1283;	a Beriite (collectively) or descendants of Beriah	Beerites.
H1285	בְּרִית	bᵉrîyth	ber-eeth'	n-f	heb	from 1262 (in the sense of cutting [like 1254]);	a compact (because made by passing between pieces of flesh)	confederacy, (con-) feder(-ate), covenant, league.
H1286	בְּרִית	Bᵉrîyth	ber-eeth'	n-pr-m	x-pn	the same as 1285;	Berith, a Shechemitish deity	Berith.
H1287	בֹּרִית	bôrîyth	bo-reeth'	n-f	heb	feminine of 1253;	vegetable alkali	sope.
H1288	בָּרַךְ	bârak	baw-rak'	v	heb	a primitive root;	to kneel; by implication to bless God (as an act of adoration), and (vice-versa) man (as a benefit); also (by euphemism) to curse (God or the king, as treason)	× abundantly, × altogether, × at all, blaspheme, bless, congratulate, curse, × greatly, × indeed, kneel (down), praise, salute, × still, thank.
H1289	בְּרַךְ	bᵉrak	ber-ak'	v	arc	(Aramaic) corresponding to 1288		bless, kneel.
H1290	בֶּרֶךְ	berek	beh'-rek	n-f	heb	from 1288;	a knee	knee.
H1291	בֶּרֶךְ	berek	beh'-rek	n-f	arc	(Aramaic) corresponding to 1290		knee.
H1292	בָּרַכְאֵל	Bârakʼêl	baw-rak-ale'	n-pr-m	x-pn	from 1288 and 410, God has blessed;	Barakel, the father of one of Job's friends	Barachel.
H1293	בְּרָכָה	Bᵉrâkâh	ber-aw-kaw'	n-f	heb	from 1288;	benediction; by implication prosperity	blessing, liberal, pool, present.
H1294	בְּרָכָה	Bᵉrâkâh	ber-aw-kaw'	n-pr-m n-pr-loc	x-pn	the same as 1293;	Berakah, the name of an Israelite, and also of a valley in Palestine	Berachah.
H1295	בְּרֵכָה	bᵉrêkâh	ber-ay-kaw'	n-f	heb	from 1288;	a reservoir (at which camels kneel as a resting-place)	(fish-) pool.
H1296	בֶּרֶכְיָה	Berekyâh	beh-rek-yaw'	n-pr-m	x-pn	or בֶּרֶכְיָהוּ; from 1290 and 3050; knee (i.e. blessing) of Jah;	Berekjah, the name of six Israelites	Berachiah, Berechiah.
H1297	בְּרַם	bᵉram	ber-am'	adv	arc	(Aramaic) perhaps from 7313 with a prepositional prefix;	properly, highly, i.e. surely; but used adversatively, however	but, nevertheless, yet.
H1298	בֶּרַע	Beraʻ	beh'-rah	n-pr-m	x-pn	of uncertain derivation;	Bera, a Sodomitish king	Bera.
H1299	בָּרַק	bâraq	baw-rak'	v	heb	a primitive root;	to lighten (lightning)	cast forth.
H1300	בָּרָק	bârâq	baw-rawk'	n-m	heb	from 1299;	lightning; by analogy, a gleam; concretely, a flashing sword	bright, glitter(-ing sword), lightning.
H1301	בָּרָק	Bârâq	baw-rawk'	n-pr-m	x-pn	the same as 1300;	Barak, an Israelite	Barak.
H1302	בַּרְקוֹס	Barqôwç	bar-kose'	n-pr-m	x-pn	of uncertain derivation;	Barkos, one of the Nethimim	Barkos.
H1303	בַּרְקָן	barqân	bar-kwan'	n-m	heb	from 1300;	a thorn (perhaps as burning brightly)	brier.
H1304	בָּרֶקֶת	bâreqeth	baw-reh'-keth	n-f	heb	or בָּרְקַתxlit bârᵉkath corrected to bârᵉqath; from 1300;	a gem (as flashing), perhaps the emerald	carbuncle.
H1305	בָּרַר	bârar	baw-rar'	v	heb	a primitive root;	to clarify (i.e. brighten), examine, select	make bright, choice, chosen, cleanse (be clean), clearly, polished, (shew self) pure(-ify), purge (out).
H1306	בִּרְשַׁע	Birshaʻ	beer-shah'	n-pr-m	x-pn	probably from 7562 with a prepositional prefix; with wickedness;	Birsha, a king of Gomorrah	Birsha.
H1307	בֵּרֹתִי	Bêrôthîy	bay-ro-thee'	a	x-pn	patrial from 1268;	a Berothite, or inhabitant of Berothai	Berothite.
H1308	בְּשׂוֹר	Bᵉsôwr	bes-ore'	n	x-pn	from 1319; cheerful;	Besor, a stream of Palestine	Besor.
H1309	בְּשׂוֹרָה	bᵉsôwrâh	bes-o-raw'	n-f	heb	or (shortened) בְּשֹׂרָה; feminine from 1319;	glad tidings; by implication, reward for good news	reward for tidings.
H1310	בָּשַׁל	bâshal	baw-shal'	v	heb	a primitive root;	properly, to boil up; hence, to be done in cooking; figuratively to ripen	bake, boil, bring forth, roast, seethe, sod (be sodden).
H1311	בָּשֵׁל	bâshêl	baw-shale'	a	heb	from 1310;	boiled	× at all, sodden.
H1312	בִּשְׁלָם	Bishlâm	bish-lawm'	n-pr-m	x-pn	of foreign derivation;	Bishlam, a Persian	Bishlam.
H1313	בָּשָׂם	bâsâm	baw-sawm'	n-m	heb	from an unused root meaning to be fragrant; (compare 5561)	the balsam plant	spice.
H1314	בֶּשֶׂם	besem	beh'-sem	n-m	heb	or בֹּשֶׂם; from the same as 1313;	fragrance; by implication, spicery; also the balsam plant	smell, spice, sweet (odour).
H1315	בׇּשְׂמַת	Bosmath	bos-math'	n-pr-f	x-pn	feminine of 1314 (the second form); fragrance;	Bosmath, the name of a wife of Esau, and of a daughter of Solomon	Bashemath, Basmath.
H1316	בָּשָׁן	Bâshân	baw-shawn'	n-pr-loc	x-pn	of uncertain derivation;	Bashan (often with the article), a region East of the Jordan	Bashan.
H1317	בׇּשְׁנָה	boshnâh	bosh-naw'	n-m	heb	feminine from 954;	shamefulness	shame.
H1318	בָּשַׁס	bâshaç	baw-shas'	v	heb	a primitive root;	to trample down	tread.
H1319	בָּשַׂר	bâsar	baw-sar'	v	heb	a primitive root;	properly, to be fresh, i.e. full (rosy, figuratively cheerful); to announce (glad news)	messenger, preach, publish, shew forth, (bear, bring, carry, preach, good, tell good) tidings.
H1320	בָּשָׂר	bâsâr	baw-sawr'	n-m	heb	from 1319;	flesh (from its freshness); by extension, body, person; also (by euphemistically) the pudenda of a man	body, (fat, lean) flesh(-ed), kin, (man-) kind, nakedness, self, skin.
H1321	בְּשַׁר	bᵉshar	bes-ar'	n-f	arc	(Aramaic) corresponding to 1320		flesh.
H1322	בֹּשֶׁת	bôsheth	bo'-sheth	n-f	heb	from 954;	shame (the feeling and the condition, as well as its cause); by implication (specifically) an idol	ashamed, confusion, greatly, (put to) shame(-ful thing).
H1323	בַּת	bath	bath	n-f	heb	from 1129 (as feminine of 1121);	a daughter (used in the same wide sense as other terms of relationship, literally and figuratively)	apple (of the eye), branch, company, daughter, × first, × old, owl, town, village.
H1324	בַּת	bath	bath	n-m	heb	probably from the same as 1327;	a bath or Hebrew measure (as a means of division) of liquids	bath.
H1325	בַּת	bath	bath	n-m	arc	(Aramaic) corresponding to 1324		bath.
H1326	בָּתָה	bâthâh	baw-thaw'	n-f	heb	probably an orthographical variation for 1327;	desolation	waste.
H1327	בַּתָּה	battâh	bat-taw'	n-f	heb	feminine from an unused root (meaning to break in pieces);	desolation	desolate.
H1328	בְּתוּאֵל	Bᵉthûwʼêl	beth-oo-ale'	n-pr-m n-pr-loc	x-pn	apparently from the same as 1326 and 410; destroyed of God;	Bethuel, the name of a nephew of Abraham, and of a place in Palestine	Bethuel. Compare 1329.
H1329	בְּתוּל	Bᵉthûwl	beth-ool'	n-pr-loc	x-pn	for 1328;	Bethul (i.e. Bethuel), a place in Palestine	Bethuel.
H1330	בְּתוּלָה	bᵉthûwlâh	beth-oo-law'	n-f	heb	feminine passive participle of an unused root meaning to separate;	a virgin (from her privacy); sometimes (by continuation) a bride; also (figuratively) a city or state	maid, virgin.
H1331	בְּתוּלִים	bᵉthûwlîym	beth-oo-leem'	n-f	heb	masculine plural of the same as 1330;	(collectively and abstractly) virginity; by implication and concretely, the tokens of it	× maid, virginity.
H1332	בִּתְיָה	Bithyâh	bith-yaw'	n-pr-f	x-pn	from 1323 and 3050; daughter (i.e. worshipper) of Jah;	Bithjah, an Egyptian woman	Bithiah.
H1333	בָּתַק	bâthaq	baw-thak'	v	heb	a primitive root;	to cut in pieces	thrust through.
H1334	בָּתַר	bâthar	baw-thar'	v	heb	a primitive root,	to chop up	divide.
H1335	בֶּתֶר	bether	beh'-ther	n-m	heb	from 1334;	a section	part, piece.
H1336	בֶּתֶר	Bether	beh'-ther	n-pr-m	x-pn	the same as 1335;	Bether, a (craggy) place in Palestine	Bether.
H1337	בַּת רַבִּים	Bath Rabbîym	bath rab-beem'	n-pr-loc	heb	from 1323 and a masculine plural from 7227;	the daughter (i.e. city) of Rabbah	Bath-rabbim.
H1338	בִּתְרוֹן	Bithrôwn	bith-rone'	n-pr-loc	x-pn	from 1334; (with the article) the craggy spot;	Bithron, a place East of the Jordan	Bithron.
H1339	בַּת־שֶׁבַע	Bath-Shebaʻ	bath-sheh'-bah	n-pr-f	x-pn	from 1323 and 7651 (in the sense of 7650); daughter of an oath;	Bath-Sheba, the mother of Solomon	Bath-sheba.
H1340	בַּת־שׁוּעַ	Bath-Shûwaʻ	bath-shoo'-ah	n-pr-f	x-pn	from 1323 and 7771; daughter of wealth; the same as 1339	Bath-shua,	Bath-shua.
H1341	גֵּא	gêʼ	gay'	a	heb	for 1343;	haughty	proud.
H1342	גָּאָה	gâʼâh	gaw-aw'	v	heb	a primitive root;	to mount up; hence, in general, to rise, (figuratively) be majestic	gloriously, grow up, increase, be risen, triumph.
H1343	גֵּאֶה	gêʼeh	gay-eh'	a	heb	from 1342;	lofty; figuratively, arrogant	proud.
H1344	גֵּאָה	gêʼâh	gay-aw'	n-f	heb	feminine from 1342;	arrogance	pride.
H1345	גְּאוּאֵל	Gᵉʼûwʼêl	gheh-oo-ale'	n-pr-m	x-pn	from 1342 and 410; majesty of God;	Geuel, an Israelite	Geuel.
H1346	גַּאֲוָה	gaʼăvâh	gah-av-aw'	n-f	heb	from 1342;	arrogance or majesty; by implication, (concretely) ornament	excellency, haughtiness, highness, pride, proudly, swelling.
H1347	גָּאוֹן	gâʼôwn	gaw-ohn'	n-m	heb	from 1342;	the same as 1346	arrogancy, excellency(-lent), majesty, pomp, pride, proud, swelling.
H1348	גֵּאוּת	gêʼûwth	gay-ooth'	n-f	heb	from 1342;	the same as 1346	excellent things, lifting up, majesty, pride, proudly, raging.
H1349	גַּאֲיוֹן	gaʼăyôwn	gah-ah-yone'	a	heb	from 1342;	haughty	proud.
H1350	גָּאַל	gâʼal	gaw-al'	v	heb	a primitive root,	to redeem (according to the Oriental law of kinship), i.e. to be the next of kin (and as such to buy back a relative's property, marry his widow, etc.)	× in any wise, × at all, avenger, deliver, (do, perform the part of near, next) kinsfolk(-man), purchase, ransom, redeem(-er), revenger.
H1351	גָּאַל	gâʼal	gaw-al'	v	heb	a primitive root, (rather identified with 1350, through the idea of freeing, i.e. repudiating);	to soil or (figuratively) desecrate	defile, pollute, stain.
H1352	גֹּאֶל	gôʼel	go'-el	n-m	heb	from 1351;	profanation	defile.
H1353	גְּאֻלָּה	gᵉʼullâh	gheh-ool-law'	n-f	heb	feminine passive participle of 1350;	redemption (including the right and the object); by implication, relationship	kindred, redeem, redemption, right.
H1354	גַב	gab	gab	n	heb	from an unused root meaning to hollow or curve; (compare 1460 and 1479)	the back (as rounded); by analogy, the top or rim, a boss, a vault, arch of eye, bulwarks, etc.	back, body, boss, eminent (higher) place, (eye) brows, nave, ring.
H1355	גַּב	gab	gab	n-m	arc	(Aramaic) corresponding to 1354		back.
H1356	גֵּב	gêb	gabe	n-m	heb	from 1461;	a log (as cut out); also well or cistern (as dug)	beam, ditch, pit.
H1357	גֵּב	gêb	gabe	n-m	heb	probably from 1461 (compare 1462);	a locust (from its cutting)	locust.
H1358	גֹּב	gôb	gobe	n-m	arc	(Aramaic) from a root corresponding to 1461;	a pit (for wild animals) (as cut out)	den.
H1359	גֹּב	Gôb	gobe	n-pr-loc	x-pn	or (fully) גּוֹב; from 1461; pit;	Gob, a place in Palestine	Gob.
H1360	גֶּבֶא	gebeʼ	geh'-beh	n-m	heb	from an unused root meaning probably to collect;	a reservoir; by analogy, a marsh	marish, pit.
H1361	גָּבַהּ	gâbahh	gaw-bah'	v	heb	a primitive root;	to soar, i.e. be lofty; figuratively, to be haughty	exalt, be haughty, be (make) high(-er), lift up, mount up, be proud, raise up great height, upward.
H1362	גָּבָהּ	gâbâhh	gaw-bawh'	a	heb	from 1361;	lofty (literally or figuratively)	high, proud.
H1363	גֹּבַהּ	gôbahh	go'-bah	n-m	heb	from 1361;	elation, grandeur, arrogance	excellency, haughty, height, high, loftiness, pride.
H1364	גָּבֹהַּ	gâbôahh	gaw-bo'-ah	a	heb	or גָּבוֹהַּ; (fully) from 1361;	elevated (or elated), powerful, arrogant	haughty, height, high(-er), lofty, proud, × exceeding proudly.
H1365	גַּבְהוּת	gabhûwth	gab-hooth'	n-m	heb	from 1361;	pride	loftiness, lofty.
H1366	גְּבוּל	gᵉbûwl	gheb-ool'	n-m	heb	or גְּבֻל; (shortened) from 1379;	properly, a cord (as twisted), i.e. (by implication) a boundary; by extension the territory inclosed	border, bound, coast, × great, landmark, limit, quarter, space.
H1367	גְּבוּלָה	gᵉbûwlâh	gheb-oo-law'	n-f	heb	or גְּבֻלָה; (shortened) feminine of 1366;	a boundary, region	border, bound, coast, landmark. place.
H1368	גִּבּוֹר	gibbôwr	ghib-bore'	a	heb	or גִּבֹּר; (shortened) intensive from the same as 1397;	powerful; by implication, warrior, tyrant	champion, chief, × excel, giant, man, mighty (man, one), strong (man), valiant man.
H1369	גְּבוּרָה	gᵉbûwrâh	gheb-oo-raw'	n-f	heb	feminine passive participle from the same as 1368;	force (literally or figuratively); by implication, valor, victory	force, mastery, might, mighty (act, power), power, strength.
H1370	גְּבוּרָה	gᵉbûwrâh	gheb-oo-raw'	n-f	arc	(Aramaic) corresponding to 1369;	power	might.
H1371	גִּבֵּחַ	gibbêach	ghib-bay'-akh	a	heb	from an unused root meaning to be high (in the forehead);	bald in the forehead	forehead bald.
H1372	גַּבַּחַת	gabbachath	gab-bakh'-ath	n-f	heb	from the same as 1371;	baldness in the forehead; by analogy, a bare spot on the right side of cloth	bald forehead, × without.
H1373	גַּבַּי	Gabbay	gab-bah'ee	n-pr-m	x-pn	from the same as 1354; collective	Gabbai, an Israelite	Gabbai.
H1374	גֵּבִים	Gêbîym	gay-beem'	n-pr-loc	x-pn	plural of 1356; cisterns;	Gebim, a place in Palestine	Gebim.
H1375	גְּבִיעַ	gᵉbîyaʻ	gheb-ee'-ah	n-m	heb	from an unused root (meaning to be convex);	a goblet; by analogy, the calyx of a flower	house, cup, pot.
H1376	גְּבִיר	gᵉbîyr	gheb-eer'	n-m	heb	from 1396;	a master	lord.
H1377	גְּבִירָה	gᵉbîyrâh	gheb-ee-raw'	n-f	heb	feminine of 1376;	a mistress	queen.
H1378	גָּבִישׁ	gâbîysh	gaw-beesh'	n-m	heb	from an unused root (probably meaning to freeze);	crystal (from its resemblance to ice)	pearl.
H1379	גָּבַל	gâbal	gaw-bal'	v	heb	a primitive root; also as a denominative from 1366	properly, to twist as a rope; to bound (as by a line)	be border, set (bounds about).
H1380	גְּבַל	Gᵉbal	gheb-al'	n-pr-loc	x-pn	from 1379 (in the sense of a chain of hills); a mountain;	Gebal, a place in Phoenicia	Gebal.
H1381	גְּבָל	Gᵉbâl	gheb-awl'	n-pr-loc	x-pn	the same as 1380;	Gebal, a region in Idumaea	Gebal.
H1382	גִּבְלִי	Giblîy	ghib-lee'	a	x-pn	; patrial from 1380;	a Gebalite, or inhabitant of Gebal	Giblites, stone-squarer.
H1383	גַּבְלֻת	gabluth	gab-looth'	n-f	heb	from 1379;	a twisted chain or lace	end.
H1384	גִּבֵּן	gibbên	gib-bane'	a	heb	from an unused root meaning to be arched or contracted;	hunch-backed	crookbackt.
H1385	גְּבִנָה	gᵉbinâh	gheb-ee-naw'	n-f	heb	feminine from the same as 1384;	curdled milk	cheese.
H1386	גַּבְנֹן	gabnôn	gab-nohn'	n-m	heb	from the same as 1384;	a hump or peak of hills	high.
H1387	גֶּבַע	Gebaʻ	gheh'-bah	n-pr-loc	x-pn	from the same as 1375, a hillock;	Geba, a place in Palestine	Gaba, Geba, Gibeah.
H1388	גִּבְעָא	Gibʻâʼ	ghib-aw'	n-pr-m	x-pn	by permutation for 1389; a hill;	Giba, a place in Palestine	Gibeah.
H1389	גִּבְעָה	gibʻâh	ghib-aw'	n-f	heb	feminine from the same as 1387;	a hillock	hill, little hill.
H1390	גִּבְעָה	Gibʻâh	ghib-aw'	n-pr-loc	x-pn	the same as 1389;	Gibah; the name of three places in Palestine	Gibeah, the hill.
H1391	גִּבְעוֹן	Gibʻôwn	ghib-ohn'	n-pr-loc	x-pn	from the same as 1387; hilly;	Gibon, a place in Palestine	Gibeon.
H1392	גִּבְעֹל	gibʻôl	ghib-ole'	n-m	heb	prolonged from 1375;	the calyx of a flower	bolled.
H1393	גִּבְעֹנִי	Gibʻônîy	ghib-o-nee'	a	x-pn	patrial from 1391;	a Gibonite, or inhabitant of Gibon	Gibeonite.
H1394	גִּבְעַת	Gibʻath	ghib-ath'	n-pr-loc	x-pn	from the same as 1375; hilliness;	Gibath	Gibeath.
H1395	גִּבְעָתִי	Gibʻâthîy	ghib-aw-thee'	a	x-pn	patrial from 1390;	a Gibathite, or inhabitant of Gibath	Gibeathite.
H1396	גָּבַר	gâbar	gaw-bar'	v	heb	a primitive root;	to be strong; by implication, to prevail, act insolently	exceed, confirm, be great, be mighty, prevail, put to more (strength), strengthen, be stronger, be valiant.
H1397	גֶּבֶר	geber	gheh'-ber	n-m	heb	from 1396;	properly, a valiant man or warrior; generally, a person simply	every one, man, × mighty.
H1398	גֶּבֶר	Geber	gheh'-ber	n-pr-m	x-pn	the same as 1397;	Geber, the name of two Israelites	Geber.
H1399	גְּבַר	gᵉbar	gheb-ar'	n-m	heb	from 1396; the same as 1397;	a person	man.
H1400	גְּבַר	gᵉbar	gheb-ar'	n-m	arc	(Aramaic) corresponding to 1399		certain, man.
H1401	גִּבָּר	gibbâr	ghib-bawr'	n-m	arc	(Aramaic) intensive of 1400;	valiant, or warrior	mighty.
H1402	גִּבָּר	Gibbâr	ghib-bawr'	n	x-pn	intensive of 1399;	Gibbar, an Israelite	Gibbar.
H1403	גַּבְרִיאֵל	Gabrîyʼêl	gab-ree-ale'	n-pr-m	x-pn	from 1397 and 410; man of God;	Gabriel, an archangel	Gabriel.
H1404	גְּבֶרֶת	gᵉbereth	gheb-eh'-reth	n-f	heb	feminine of 1376;	mistress	lady, mistress.
H1405	גִּבְּתוֹן	Gibbᵉthôwn	ghib-beth-one'	n-pr-loc	x-pn	intensive from 1389; a hilly spot;	Gibbethon, a place in Palestine	Gibbethon.
H1406	גָּג	gâg	gawg	n-m	heb	probably by reduplication from 1342;	a roof; by analogy, the top of an altar	roof (of the house), (house) top (of the house).
H1407	גַּד	gad	gad	n-m	heb	from 1413 (in the sense of cutting);	coriander seed (from its furrows)	coriander.
H1408	גַּד	Gad	gad	n-pr-m	x-pn	a variation of 1409;	Fortune, a Babylonian deity	that troop.
H1409	גָּד	gâd	gawd	n-m	heb	from 1464 (in the sense of distributing);	fortune	troop.
H1410	גָּד	Gâd	gawd	n-pr-m	x-pn	from 1464;	Gad, a son of Jacob, including his tribe and its territory; also a prophet	Gad.
H1411	גְּדָבָר	gᵉdâbâr	ghed-aw-bawr'	n-m	arc	(Aramaic) corresponding to 1489;	a treasurer	treasurer.
H1412	גֻּדְגֹּדָה	Gudgôdâh	gud-go'-daw	n-pr-loc	x-pn	by reduplication from 1413 (in the sense of cutting) cleft;	Gudgodah, a place in the Desert	Gudgodah.
