strongs	word	transliteration	derivation	definition	kjv_usage
G2854	κολλούριον	kolloúrion	neuter of a presumed derivative of (a cake;	prob akin to the base of G2853 (κολλάω)); properly, a poultice (as made of or in the form of crackers), i.e. (by analogy) a plaster	eyesalve
G2855	κολλυβιστής	kollybistḗs	from a presumed derivative of (a small coin;	probably akin to G2854 (κολλούριον)); a coin-dealer	(money-)changer
G2856	κολοβόω	kolobóō	from a derivative of the base of G2849 (κολάζω);	to dock, i.e. (figuratively) abridge	shorten
G2857	Κολοσσαί	Kolossaí	apparently feminine plural of kolossos ("colossal");	Colossæ, a place in Asia Minor	Colosse
G2858	Κολοσσαεύς	Kolossaeús	from G2857 (Κολοσσαί);	a Colossæan, (i.e. inhabitant of Colossæ	Colossian
G2859	κόλπος	kólpos	apparently a primary word;	the bosom; by analogy, a bay	bosom, creek
G2860	κολυμβάω	kolymbáō	from (a diver);	to plunge into water	swim
G2861	κολυμβήθρα	kolymbḗthra	from G2860 (κολυμβάω);	a diving-place, i.e. pond for bathing (or swimming)	pool
G2862	κολωνία	kolōnía	of Latin origin;	a Roman "colony" for veterans	colony
G2863	κομάω	komáō	from G2864 (κόμη);	to wear tresses of hair	have long hair
G2864	κόμη	kómē	apparently from the same as G2865 (κομίζω);	the hair of the head (locks, as ornamental, and thus differing from G2359 (θρίξ); which properly denotes merely the scalp)	hair
G2865	κομίζω	komízō	from a primary (to tend, i.e. take care of);	properly, to provide for, i.e. (by implication) to carry off (as if from harm; genitive case obtain)	bring, receive
G2866	κομψότερον	kompsóteron	neuter comparative of a derivative of the base of 2865 (meaning, properly, well dressed, i.e. nice);	figuratively, convalescent	+ began to amend
G2867	κονιάω	koniáō	from (dust;	by analogy, lime); to whitewash	whiten
G2868	κονιορτός	koniortós	from the base of G2867 (κονιάω) and ornumi (to "rouse");	pulverulence (as blown about)	dust
G2869	κοπάζω	kopázō	from G2873 (κόπος);	to tire, i.e. (figuratively) to relax	cease
G2870	κοπετός	kopetós	from G2875 (κόπτω);	mourning (properly, by beating the breast)	lamentation
G2871	κοπή	kopḗ	from G2875 (κόπτω);	cutting, i.e. carnage	slaughter
G2872	κοπιάω	kopiáō	from a derivative of G2873 (κόπος);	to feel fatigue; by implication, to work hard	(bestow) labour, toil, be wearied
G2873	κόπος	kópos	from G2875 (κόπτω);	a cut, i.e. (by analogy) toil (as reducing the strength), literally or figuratively; by implication, pains	labour, + trouble, weariness
G2874	κοπρία	kopría	from (ordure;	perhaps akin to G2875 (κόπτω)); manure	dung(-hill)
G2875	κόπτω	kóptō	a primary verb;	to "chop"; specially, to beat the breast in grief	cut down, lament, mourn, (be-)wail
G2876	κόραξ	kórax	perhaps from G2880 (κορέννυμι);	a crow (from its voracity)	raven
G2877	κοράσιον	korásion	neuter of a presumed derivative of (a maiden);	a (little) girl	damsel, maid
G2878	κορβᾶν	korbân	of Hebrew and Chaldee origin respectively (H07133);	a votive offering and the offering; a consecrated present (to the Temple fund); by extension (the latter term) the Treasury itself, i.e. the room where the contribution boxes stood	Corban, treasury
