reference	n	greek	transliteration	parsing	strongs	english
Matthew 1:16	15	χριστός	cristov	N-NSM	G5547	Christ
Matthew 1:17	1	Πᾶσαι	pasai	A-NPF	G3956	In all
Matthew 1:17	2	οὖν	oun	CONJ	G3767	then
Matthew 1:17	3	αἱ	ai	T-NPF	G3588	. . .
Matthew 1:17	4	γενεαὶ	geneai	N-NPF	G1074	. . .
Matthew 1:17	5	ἀπὸ	apo	PREP	G0575	from
Matthew 1:17	6	Ἀβραὰμ	abraam	N-PRI	G0011	Abraham
Matthew 1:17	7	ἕως	ewv	ADV	G2193	to
Matthew 1:17	8	Δαυὶδ	dauid	N-PRI	G1138	David
Matthew 1:17	9	γενεαὶ	geneai	N-NPF	G1074	generations
Matthew 1:17	10	δεκατέσσαρες	dekatessarev	A-NPF	G1180	[there were] fourteen
Matthew 1:17	11	καὶ	kai	CONJ	G2532	-
Matthew 1:17	12	ἀπὸ	apo	PREP	G0575	from
Matthew 1:17	13	Δαυὶδ	dauid	N-PRI	G1138	David
Matthew 1:17	14	ἕως	ewv	ADV	G2193	to
Matthew 1:17	15	τῆς	thv	T-GSF	G3588	the
Matthew 1:17	16	μετοικεσίας	metoikesiav	N-GSF	G3350	exile
Matthew 1:17	17	Βαβυλῶνος	babulwnov	N-GSF	G0897	to Babylon
Matthew 1:17	18	γενεαὶ	geneai	N-NPF	G1074	-
Matthew 1:17	19	δεκατέσσαρες	dekatessarev	A-NPF	G1180	fourteen
Matthew 1:17	20	καὶ	kai	CONJ	G2532	and
Matthew 1:17	21	ἀπὸ	apo	PREP	G0575	from
Matthew 1:17	22	τῆς	thv	T-GSF	G3588	the
Matthew 1:17	23	μετοικεσίας	metoikesiav	N-GSF	G3350	exile
Matthew 1:17	24	Βαβυλῶνος	babulwnov	N-GSF	G0897	. . .
Matthew 1:17	25	ἕως	ewv	ADV	G2193	to
Matthew 1:17	26	τοῦ	tou	T-GSM	G3588	the
Matthew 1:17	27	χριστοῦ	cristou	N-GSM	G5547	Christ
Matthew 1:17	28	γενεαὶ	geneai	N-NPF	G1074	-
Matthew 1:17	29	δεκατέσσαρες	dekatessarev	A-NPF	G1180	fourteen
Matthew 1:18	1	Τοῦ	tou	T-GSM	G3588	-
Matthew 1:18	2	δὲ	de	CONJ	G1161	-
Matthew 1:18	3	Ἰησοῦ	ihsou	N-GSM	G2424	of Jesus
Matthew 1:18	4	χριστοῦ	cristou	N-GSM	G5547	Christ
Matthew 1:18	5	ἡ	h	T-NSF	G3588	the
Matthew 1:18	6	γέννησις	gennhsiv	N-NSF	G1083	birth
Matthew 1:18	7	οὕτως	outwv	ADV	G3779	This is how
Matthew 1:18	8	ἦν	hn	V-IAI-3S	G1510	came about
Matthew 1:18	9	Μνηστευθείσης	mnhsteuqeishv	V-APP-GSF	G3423	was pledged in marriage
Matthew 1:18	10	γὰρ	gar	CONJ	G1063	-
Matthew 1:18	11	τῆς	thv	T-GSF	G3588	
Matthew 1:18	12	μητρὸς	mhtrov	N-GSF	G3384	mother
Matthew 1:18	13	αὐτοῦ	autou	P-GSM	G0846	His
Matthew 1:18	14	Μαρίας	mariav	N-GSF	G3137	Mary
Matthew 1:18	15	τῷ	tw	T-DSM	G3588	-
Matthew 1:18	16	Ἰωσήφ	iwshf	N-PRI	G2501	to Joseph
Matthew 1:18	17	πρὶν	prin	ADV	G4250	before
Matthew 1:18	18	ἢ	h	PRT	G2228	but
Matthew 1:18	19	συνελθεῖν	sunelqein	V-2AAN	G4905	came together
Matthew 1:18	20	αὐτούς	autouv	P-APM	G0846	they
Matthew 1:18	21	εὑρέθη	eureqh	V-API-3S	G2147	she was found
Matthew 1:18	22	ἐν	en	PREP	G1722	. . .
Matthew 1:18	23	γαστρὶ	gastri	N-DSF	G1064	. . .
Matthew 1:18	24	ἔχουσα	ecousa	V-PAP-NSF	G2192	to be with child
Matthew 1:18	25	ἐκ	ek	PREP	G1537	through
Matthew 1:18	26	πνεύματος	pneumatov	N-GSN	G4151	Spirit
Matthew 1:18	27	ἁγίου	agiou	A-GSN	G0040	[the] Holy
Matthew 1:19	1	Ἰωσὴφ	iwshf	N-PRI	G2501	Joseph
Matthew 1:19	2	δὲ	de	CONJ	G1161	Because
Matthew 1:19	3	ὁ	o	T-NSM	G3588	-
Matthew 1:19	4	ἀνὴρ	anhr	N-NSM	G0435	husband
Matthew 1:19	5	αὐτῆς	authv	P-GSF	G0846	her
Matthew 1:19	6	δίκαιος	dikaiov	A-NSM	G1342	a righteous man
Matthew 1:19	7	ὤν	wn	V-PAP-NSM	G1510	was
Matthew 1:19	8	καὶ	kai	CONJ	G2532	and
Matthew 1:19	9	μὴ	mh	PRT-N	G3361	vvv
Matthew 1:19	10	θέλων	qelwn	V-PAP-NSM	G2309	was unwilling
Matthew 1:19	11	αὐτὴν	authn	P-ASF	G0846	vvv
Matthew 1:19	12	παραδειγματίσαι	paradeigmatisai	V-AAN	G3856	to disgrace her publicly
Matthew 1:19	13	ἐβουλήθη	eboulhqh	V-AOI-3S	G1014	he resolved
Matthew 1:19	14	λάθρᾳ	laqra	ADV	G2977	quietly
Matthew 1:19	15	ἀπολῦσαι	apolusai	V-AAN	G0630	to divorce
Matthew 1:19	16	αὐτήν	authn	P-ASF	G0846	her
Matthew 1:20	1	Ταῦτα	tauta	D-APN	G3778	these things
Matthew 1:20	2	δὲ	de	CONJ	G1161	But
Matthew 1:20	3	αὐτοῦ	autou	P-GSM	G0846	after
Matthew 1:20	4	ἐνθυμηθέντος	enqumhqentov	V-AOP-GSM	G1760	he had pondered
Matthew 1:20	5	ἰδού	idou	V-2AMM-2S	G3708	-
Matthew 1:20	6	ἄγγελος	aggelov	N-NSM	G0032	an angel
Matthew 1:20	7	κυρίου	kuriou	N-GSM	G2962	of [the] Lord
Matthew 1:20	8	κατ'	kat	PREP	G2596	in
Matthew 1:20	9	ὄναρ	onar	N-OI	G3677	a dream
Matthew 1:20	10	ἐφάνη	efanh	V-2API-3S	G5316	appeared
Matthew 1:20	11	αὐτῷ	autw	P-DSM	G0846	to him
Matthew 1:20	12	λέγων	legwn	V-PAP-NSM	G3004	[and] said
Matthew 1:20	13	Ἰωσήφ	iwshf	N-PRI	G2501	Joseph
Matthew 1:20	14	υἱὸς	uiov	N-NSM	G5207	son
Matthew 1:20	15	Δαυίδ	dauid	N-PRI	G1138	of David
Matthew 1:20	16	μὴ	mh	PRT-N	G3361	. . .
Matthew 1:20	17	φοβηθῇς	fobhqhv	V-AOS-2S	G5399	do not be afraid
Matthew 1:20	18	παραλαβεῖν	paralabein	V-2AAN	G3880	to embrace
Matthew 1:20	19	Μαριὰμ	mariam	N-PRI	G3137	Mary
Matthew 1:20	20	τὴν	thn	T-ASF	G3588	[as]
Matthew 1:20	21	γυναῖκά	gunaika	N-ASF	G1135	wife
Matthew 1:20	22	σου	sou	P-2GS	G4771	your
Matthew 1:20	23	τὸ	to	T-NSN	G3588	the [One]
Matthew 1:20	24	γὰρ	gar	CONJ	G1063	for
Matthew 1:20	25	ἐν	en	PREP	G1722	in
Matthew 1:20	26	αὐτῇ	auth	P-DSF	G0846	her
Matthew 1:20	27	γεννηθὲν	gennhqen	V-APP-NSN	G1080	conceived
Matthew 1:20	28	ἐκ	ek	PREP	G1537	from
Matthew 1:20	29	πνεύματός	pneumatov	N-GSN	G4151	Spirit
Matthew 1:20	30	ἐστιν	estin	V-PAI-3S	G1510	is
Matthew 1:20	31	ἁγίου	agiou	A-GSN	G0040	[the] Holy
Matthew 1:21	1	Τέξεται	texetai	V-FDI-3S	G5088	She will give birth to
Matthew 1:21	2	δὲ	de	CONJ	G1161	-
Matthew 1:21	3	υἱόν	uion	N-ASM	G5207	a Son
Matthew 1:21	4	καὶ	kai	CONJ	G2532	and
